Bridge Opportunity: Project Code,Likelihood_of_Suitability
1009317,0.2545824212697461
1007325,0.8512072968012687
1007374,0.804398823399168
1007466,0.7325443032955467
1007495,0.9846154944144194
1007507,0.9873186133448799
1007525,0.8325468674685934
1007530,0.8118834562948327
1007535,0.8565625021840673
1007539,0.8572402773108841
1007544,0.841105760459093
1007563,0.5090698017496901
1007572,0.6458021107777491
1007580,0.8986167880464986
1007590,0.5131230232666896
1007609,0.9275884290725745
1009064,0.716353293544655
1009067,0.7140606125582545
1009068,0.716353293544655
1009311,0.5811701807178631
1009445,0.9971115215406999
1010941,0.8987065894885313
1011307,0.8501325785518749
1011309,0.8470861550449318
1012457,0.9948498352112557
1012480,0.8451175840397371
1012501,0.670581522613379
1012813,0.9651224864156437
1012817,0.9679537919838441
1012953,0.9780182671432549
1012986,0.906707033612676
1012997,0.89343337084589
1013218,0.9194482295532537
1013351,0.8891387806915122
1013353,0.9567119326872051
1013457,0.9889354658928353
1013541,0.8886512504090297
1013641,0.6576483640840649
1013652,0.8677561021182401
1013658,0.9754477900715938
1013662,0.9441106948784286
1017673,0.9940209423986207
RW104,0.744376071412425
RW127,0.509029220908013
1007342,0.8946042254677039
1007347,0.8801227527121986
1013678,0.4967343495192331
1015693,0.9695595550891749
1007340,0.616786830485539
1007387,0.9175770300597339
1007391,0.9408462622647067
1007412,0.933560539132501
1007423,0.8220625088119152
1007424,0.8065518569014035
1007426,0.6971739214347777
1007439,0.4616228688045548
1007444,0.5653742031866583
1007453,0.6961350119048061
1007455,
1007458,
1007463,0.904309794050396
1007465,0.9090238342327791
1007469,0.9839836192319452
1007471,0.8262619859107946
1007472,0.7325443032955465
1007473,0.9796130439480427
1007477,0.9040134242734152
1007491,0.8184826585069744
1007497,0.9576025507065168
1007499,0.9487843046632268
1007508,0.8043947671608145
1007515,0.7403500181667892
1007522,0.5073126628438746
1007528,0.8718479350030165
1007538,0.8572402773108841
1007548,0.31636073790683084
1007556,0.024110077381864676
1007557,0.33037390881988665
1007562,0.2687057016586497
1007570,0.857240277310884
1007582,0.6238708236774917
1007593,0.3534734806800343
1007599,0.7268058171234741
1007600,0.49638207850155763
1007604,0.5701371396238334
1007617,0.7254914555007295
1007620,0.17351551387878691
1007629,0.061715627388606795
1007630,0.9300836772357579
1007635,0.6667557864432058
1007636,0.706881618486471
1007637,0.7101121817861448
1007642,0.5619976719615006
1007647,0.9520897527276289
1007649,0.09397862023945946
1007660,0.002492746308792241
1007670,0.8964032410533135
1007672,0.8165578510853606
1007673,0.9858541914672591
1007676,0.94957046927124
1007898,0.3163644394294914
1007899,0.554421664041412
1008002,0.6709948528424625
1009066,0.9819725168059644
1009280,0.4230558157085455
1009296,0.8020624555354315
1009313,0.49593992681905713
1009426,0.7145598169387557
1009714,0.05237401097080389
1010422,0.9864237497400855
1010427,0.9718703926369164
1010917,0.9479155666991156
1010919,0.8902722030677722
1011301,0.9404329936517589
1011310,0.922906743046528
1012004,0.9852601371283931
1012433,0.7420588236372421
1012548,0.6692453834616324
1012550,0.565501537333285
1012800,0.17539882506395482
1012807,0.7067257966212834
1012809,0.7418402988727401
1012810,0.5923869472353568
1012811,0.4823749499251848
1012815,0.9455072135199724
1012816,0.9075635013895812
1012820,0.9062401302470594
1012823,0.9920206447682469
1012830,0.9600738265024116
1012831,0.9236506803384531
1012947,0.5606254092934166
1012948,0.5841226740124456
1012952,0.5490196021543025
1012956,0.6285126608395587
1012980,0.9054482305579028
1012983,0.82005472343962
1012984,0.8329028751422932
1013011,0.961943552674936
1013025,0.9050147782168719
1013029,0.405560975242483
1013214,0.941929750003213
1013220,0.8231986723465353
1013222,0.12245240498008188
1013225,0.9217901300294553
1013226,0.883183362163366
1013231,0.4085210918034786
1013233,0.1465331551965784
1013256,0.6629039278962452
1013263,0.9815459420683625
1013273,0.8804790478665893
1013275,0.684122580216766
1013281,0.5765432958194988
1013289,0.8540046836890823
1013349,0.8640867521626175
1013350,0.8384506568804565
1013364,0.4888005651381655
1013374,0.4492080571792471
1013377,0.49514337565556044
1013378,0.35973141243676315
1013392,0.5233816621728662
1013422,0.9122334099056456
1013451,0.834411201384771
1013452,0.9920206447682469
1013455,0.7604099511023027
1013461,0.8615443816449029
1013465,0.9582339319334233
1013476,0.7750177346893636
1013477,0.474457643198899
1013479,0.33345888047603234
1013491,0.7632002692479931
1013496,0.4699376573732174
1013539,0.6735492383953521
1013542,0.9489213737598765
1013547,0.9030107666678557
1013555,0.8100948394262615
1013561,0.7044628510544105
1013576,0.9410298108827104
1013583,0.8130315575682071
1013626,0.6943204544609122
1013628,0.9398972917897187
1013632,0.9889483123057249
1013639,0.9381967715722138
1013642,0.6868131860057468
1013645,0.9392638266016925
1013646,0.9933646556279928
1013647,0.9921157895531415
1013648,0.9902947335325102
1013654,0.985457293323646
1013661,0.9585761055510705
1013663,0.9499106486121444
1013668,0.9161716425969276
1013670,0.9094124325542869
1013672,0.9161716425969276
1013673,0.9193495413332996
1013680,0.980193947048693
1013683,0.9378056957639238
1013687,0.9098558211284471
1013717,0.8526344274898117
1013718,0.8247733773631972
1013719,0.8486425358085579
1013721,0.7988752900963684
1013736,0.32072230373520144
1013737,0.6920526941826992
1013747,0.682154925912363
1013761,0.6358506490742752
1013762,0.6882976519969936
1013773,0.687723658130314
1013774,0.6421617159675623
1013776,0.8043029125721891
1013786,0.5726070458099011
1013792,0.6016326926007307
1013805,0.9440373704717091
1013806,0.9300670290431332
1013873,0.8810209552111584
1013886,0.9728392540853471
1013892,0.9809103411868856
1013898,0.7757556646352153
1014006,0.4694135278076183
1014011,0.0036738676838318093
1014027,0.9106627740332293
1014038,0.9165899507593119
1014039,0.9156367860427507
1014054,0.992284348734203
1014059,0.9165899507593119
1014061,0.813524583265934
1014063,0.7175205774641622
1014064,0.9890106643926347
1014065,0.9890556344876712
1014066,0.992284348734203
1014067,0.78994409354427
1014068,0.9242595501767379
1014072,0.7367320356041741
1014076,0.993442097157618
1014083,0.9156367860427507
1014091,0.8424506925462834
1014094,0.9111555386451834
1014095,0.8298397893358249
1014099,0.007996088385803434
1014104,0.01843082984234256
1014119,0.9093304749630924
1014129,0.5639270281555123
1014134,0.9809103411868856
1014138,0.9650483738438856
1014149,0.20300772729409436
1014150,0.3289602693848644
1014152,0.7161302078373853
1014158,0.7304199508142617
1014250,
1014283,0.9878404479720123
1014290,0.9814893350072438
1014292,0.02930336343495613
1014293,0.6717254094403394
1014310,0.10477009704834168
1014312,0.033302584010673694
1014318,0.8883488973798983
1014322,0.870215222218061
1014330,0.16760158509126874
1014335,0.15659374094773287
1014374,0.914661333808804
1014375,0.9114483886963941
1014376,0.9113582696277165
1014406,
1014554,0.5937253896593397
1014555,0.5956500573950584
1014556,0.5956500573950584
1021789,0.873299286938602
1021923,0.9989349838116715
1022230,0.9625619722355199
1022231,0.9625619722355199
1022387,0.8695122129742064
1022388,0.9066552679207663
1023609,0.7691512890955944
1007380,0.9838664862309173
1007425,0.7893578052036814
1007651,0.9698747242249917
1013215,0.9567276141379207
1013339,0.9642013970550127
1013459,0.8763229263572505
1013460,0.761669446469005
1013568,0.9836207034401497
1013692,0.6196277748961513
1013777,0.9922036371668453
1013867,0.9227635912203495
1013894,0.8237623173760111
1013895,0.9771053775620964
1013899,0.8275747672189097
1014052,0.8858492039074993
1014269,0.4825570503547113
1022905,0.8022776956871466
1024587,0.907014951163548
1007327,0.8971494501913014
1007328,0.535335509874571
1007329,0.8887699402841742
1007330,0.535335509874571
1007331,0.3379442598342209
1007332,0.4699376573732174
1007334,0.5735614874002993
1007335,0.5069881532704599
1007336,0.006544186451938508
1007338,0.8121437880394498
1007339,0.5602213667324472
1007343,0.7170130285209844
1007344,0.528629540556096
1007345,0.8630443875459373
1007348,0.8227654412185818
1007349,0.8395645441464757
1007350,0.1628927630023776
1007352,0.7823636768189379
1007354,0.7916543417770601
1007356,0.4912568710328759
1007357,0.9699402177829557
1007360,0.8922774530666961
1007364,0.069037673459802
1007366,
1007368,0.0009401777256181362
1007370,0.9856946393809567
1007372,0.000994359370576972
1007376,0.8174495028920664
1007377,0.7764340371054181
1007378,0.7741756052841847
1007379,
1007381,0.9440373704717091
1007383,0.22400929313331025
1007384,0.9684524451749332
1007388,0.8489945681094382
1007389,0.9232413472852812
1007390,0.9759870921538132
1007392,0.5241025213476267
1007393,0.5414140837904637
1007394,0.7109629922856077
1007395,0.8222992282911081
1007396,0.8674480676362492
1007397,0.2970969852332384
1007398,0.9453335647282577
1007399,0.29709698523323846
1007401,0.908197612526927
1007402,0.7670180822761729
1007403,0.9989352029795731
1007404,0.6077344434933856
1007409,0.7771862188299166
1007410,0.7289707105725624
1007414,
1007415,
1007416,
1007417,0.5937253896593397
1007419,0.8419926102415559
1007420,0.8020734380140658
1007422,0.8628924682862072
1007427,0.875533625256108
1007428,0.9551554271719038
1007429,0.8731292907824743
1007430,0.5474834468015958
1007431,0.7948293881532107
1007432,0.8630733163203965
1007433,0.7303393620755766
1007437,0.4019802240887115
1007441,0.434569331340399
1007442,0.4616228688045548
1007449,0.6961350119048061
1007450,0.4876443512615379
1007451,0.38421952771477125
1007452,0.46858343206086156
1007454,
1007457,
1007459,0.011326990945054974
1007460,0.011326990945054974
1007464,0.8568371623327293
1007467,0.9043045306422399
1007468,0.9881041668788513
1007474,0.8909866064185903
1007476,0.7462349792508088
1007479,0.8727522851645139
1007480,0.89534221697742
1007482,0.6865997577630497
1007483,0.9817631231182737
1007484,0.9217579224279465
1007485,0.2833904908266713
1007486,0.904309794050396
1007487,0.9044027303230806
1007488,0.9515980013722362
1007489,0.9817631231182737
1007490,0.8983140300643476
1007492,0.9748584093243392
1007493,0.9025033830046078
1007496,0.9468066220203915
1007498,0.9817631231182737
1007500,0.9487843046632268
1007502,0.9635034184244275
1007503,0.9635121911629442
1007505,0.9803871642620783
1007509,0.8423749538337716
1007517,
1007518,0.8802492216969986
1007520,0.911227699909078
1007521,0.6234262060390773
1007523,0.9335459815046611
1007527,0.9840699983292259
1007531,
1007532,0.28221116232624466
1007534,0.2508682219404495
1007536,0.857240277310884
1007537,0.6889702382844739
1007540,0.6334508368965617
1007541,0.5424601922138115
1007542,0.5407758878397101
1007543,0.35011097072235203
