,Bridge Opportunity: Project Code,Bridge Opportunity: Individuals Directly Served,Days per year river is flooded,Market access blocked by river,Education access blocked by river,Health access blocked by river,River crossing deaths in last 3 years,River crossing injuries in last 3 years,impact_score,health_impact,education_impact,market_impact
0,1009317,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,1007325,4000.0,120.0,1,0,0,2.0,15.0,10.95890410958904,0.0,0.0,10.95890410958904
2,1007374,12500.0,60.0,1,1,1,3.0,15.0,16.43835616438356,5.47945205479452,5.47945205479452,5.47945205479452
3,1007466,4363.0,60.0,1,1,1,0.0,2.0,16.43835616438356,5.47945205479452,5.47945205479452,5.47945205479452
4,1007495,2790.0,35.0,1,1,1,4.0,4.0,9.58904109589041,3.19634703196347,3.19634703196347,3.19634703196347
5,1007507,2725.0,365.0,1,1,1,0.0,0.0,100.0,33.333333333333336,33.333333333333336,33.333333333333336
6,1007525,2015.0,24.0,1,1,1,0.0,0.0,6.575342465753424,2.191780821917808,2.191780821917808,2.191780821917808
7,1007530,2704.0,120.0,1,1,1,4.0,3.0,32.87671232876712,10.95890410958904,10.95890410958904,10.95890410958904
8,1007535,11283.0,40.0,1,1,1,4.0,1.0,10.95890410958904,3.65296803652968,3.65296803652968,3.65296803652968
9,1007539,6335.0,180.0,1,1,1,5.0,24.0,49.31506849315068,16.43835616438356,16.43835616438356,16.43835616438356
10,1007544,5421.0,121.0,1,1,1,0.0,0.0,33.15068493150685,11.050228310502284,11.050228310502284,11.050228310502284
11,1007563,4515.0,120.0,1,1,1,1.0,5.0,32.87671232876712,10.95890410958904,10.95890410958904,10.95890410958904
12,1007572,17400.0,60.0,1,1,0,6.0,20.0,10.95890410958904,0.0,5.47945205479452,5.47945205479452
13,1007580,4295.0,35.0,1,1,1,0.0,40.0,9.58904109589041,3.19634703196347,3.19634703196347,3.19634703196347
14,1007590,2183.0,60.0,1,1,1,0.0,6.0,16.43835616438356,5.47945205479452,5.47945205479452,5.47945205479452
15,1007609,2685.0,0.0,1,1,0,10.0,0.0,0.0,0.0,0.0,0.0
16,1009064,4300.0,90.0,0,0,1,1.0,8.0,8.21917808219178,8.21917808219178,0.0,0.0
17,1009067,170.0,30.0,0,0,0,0.0,2.0,0.0,0.0,0.0,0.0
18,1009068,4100.0,45.0,0,1,0,0.0,2.0,4.10958904109589,0.0,4.10958904109589,0.0
19,1009311,4959.0,40.0,1,1,1,3.0,5.0,10.95890410958904,3.65296803652968,3.65296803652968,3.65296803652968
20,1009445,1210.0,30.0,1,1,1,2.0,3.0,8.21917808219178,2.73972602739726,2.73972602739726,2.73972602739726
21,1010941,4200.0,120.0,1,1,1,2.0,5.0,32.87671232876712,10.95890410958904,10.95890410958904,10.95890410958904
22,1011307,12145.0,365.0,1,1,1,3.0,4.0,100.0,33.333333333333336,33.333333333333336,33.333333333333336
23,1011309,2699.0,365.0,1,1,1,0.0,5.0,100.0,33.333333333333336,33.333333333333336,33.333333333333336
24,1012457,2734.0,120.0,1,1,1,1.0,0.0,32.87671232876712,10.95890410958904,10.95890410958904,10.95890410958904
25,1012480,4111.0,330.0,1,1,1,8.0,2.0,90.41095890410958,30.13698630136986,30.13698630136986,30.13698630136986
26,1012501,7000.0,0.0,1,1,1,0.0,1.0,0.0,0.0,0.0,0.0
27,1012813,3290.0,34.0,1,1,1,0.0,30.0,9.315068493150685,3.105022831050228,3.105022831050228,3.105022831050228
28,1012817,2805.0,60.0,1,1,1,1.0,1.0,16.43835616438356,5.47945205479452,5.47945205479452,5.47945205479452
29,1012953,2200.0,70.0,1,1,1,1.0,2.0,19.17808219178082,6.39269406392694,6.39269406392694,6.39269406392694
30,1012986,3294.0,365.0,1,1,1,2.0,0.0,100.0,33.333333333333336,33.333333333333336,33.333333333333336
31,1012997,2762.0,60.0,1,1,1,3.0,5.0,16.43835616438356,5.47945205479452,5.47945205479452,5.47945205479452
32,1013218,2670.0,150.0,1,1,1,8.0,0.0,41.0958904109589,13.698630136986301,13.698630136986301,13.698630136986301
33,1013351,5167.0,70.0,1,1,1,2.0,10.0,19.17808219178082,6.39269406392694,6.39269406392694,6.39269406392694
34,1013353,1768.0,70.0,1,1,1,0.0,0.0,19.17808219178082,6.39269406392694,6.39269406392694,6.39269406392694
35,1013457,2656.0,82.0,1,1,1,1.0,2.0,22.465753424657535,7.488584474885845,7.488584474885845,7.488584474885845
36,1013541,2335.0,60.0,1,1,1,2.0,3.0,16.43835616438356,5.47945205479452,5.47945205479452,5.47945205479452
37,1013641,1641.0,28.0,1,1,1,1.0,0.0,7.671232876712329,2.5570776255707766,2.5570776255707766,2.5570776255707766
38,1013652,2141.0,48.0,1,1,1,1.0,0.0,13.150684931506849,4.383561643835616,4.383561643835616,4.383561643835616
39,1013658,1348.0,28.0,1,1,1,5.0,0.0,7.671232876712329,2.5570776255707766,2.5570776255707766,2.5570776255707766
40,1013662,1468.0,365.0,1,1,1,0.0,0.0,100.0,33.333333333333336,33.333333333333336,33.333333333333336
41,1017673,1000.0,0.0,1,1,1,3.0,5.0,0.0,0.0,0.0,0.0
42,RW104,7000.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
43,RW127,3000.0,90.0,1,0,0,0.0,0.0,8.21917808219178,0.0,0.0,8.21917808219178
44,1007342,4000.0,36.0,1,1,1,0.0,10.0,9.863013698630137,3.2876712328767126,3.2876712328767126,3.2876712328767126
45,1007347,0.0,30.0,1,1,1,2.0,40.0,8.21917808219178,2.73972602739726,2.73972602739726,2.73972602739726
46,1013678,0.0,365.0,1,1,1,3.0,0.0,100.0,33.333333333333336,33.333333333333336,33.333333333333336
47,1015693,1280.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0
48,1007340,2860.0,21.0,1,1,1,0.0,2.0,5.7534246575342465,1.917808219178082,1.917808219178082,1.917808219178082
49,1007387,10405.0,90.0,1,1,1,3.0,5.0,24.65753424657534,8.21917808219178,8.21917808219178,8.21917808219178
50,1007391,5748.0,140.0,1,1,1,2.0,3.0,38.35616438356164,12.78538812785388,12.78538812785388,12.78538812785388
51,1007412,1600.0,365.0,1,1,1,0.0,0.0,100.0,33.333333333333336,33.333333333333336,33.333333333333336
52,1007423,1325.0,1.0,1,1,1,7.0,2.0,0.273972602739726,0.091324200913242,0.091324200913242,0.091324200913242
53,1007424,1000.0,2.0,1,1,1,2.0,4.0,0.547945205479452,0.182648401826484,0.182648401826484,0.182648401826484
54,1007426,3587.0,7.0,1,1,1,5.0,10.0,1.9178082191780823,0.6392694063926941,0.6392694063926941,0.6392694063926941
55,1007439,3006.0,8.0,1,1,1,5.0,0.0,2.191780821917808,0.730593607305936,0.730593607305936,0.730593607305936
56,1007444,3805.0,6.0,1,1,1,0.0,3.0,1.643835616438356,0.547945205479452,0.547945205479452,0.547945205479452
57,1007453,1051.0,14.0,1,1,1,1.0,1.0,3.8356164383561646,1.2785388127853883,1.2785388127853883,1.2785388127853883
58,1007455,17237.0,154.0,1,1,1,0.0,4.0,42.19178082191781,14.06392694063927,14.06392694063927,14.06392694063927
59,1007458,7453.0,365.0,1,1,0,3.0,2.0,66.66666666666666,0.0,33.333333333333336,33.333333333333336
60,1007463,995.0,15.0,1,1,1,1.0,3.0,4.10958904109589,1.36986301369863,1.36986301369863,1.36986301369863
61,1007465,3475.0,30.0,1,1,1,3.0,3.0,8.21917808219178,2.73972602739726,2.73972602739726,2.73972602739726
62,1007469,2714.0,120.0,1,1,1,0.0,0.0,32.87671232876712,10.95890410958904,10.95890410958904,10.95890410958904
63,1007471,8150.0,70.0,1,1,1,3.0,0.0,19.17808219178082,6.39269406392694,6.39269406392694,6.39269406392694
64,1007472,4469.0,60.0,1,1,1,4.0,2.0,16.43835616438356,5.47945205479452,5.47945205479452,5.47945205479452
65,1007473,2613.0,70.0,1,1,1,0.0,0.0,19.17808219178082,6.39269406392694,6.39269406392694,6.39269406392694
66,1007477,1720.0,10.0,1,1,1,1.0,1.0,2.73972602739726,0.91324200913242,0.91324200913242,0.91324200913242
67,1007491,4530.0,60.0,1,1,1,5.0,0.0,16.43835616438356,5.47945205479452,5.47945205479452,5.47945205479452
