,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
1009317,1014037,1014035,1014030,1007550,1007393,1013501,1009317,1007579,1007554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007325,1007325,1013418,1007583,1013868,1007349,1013790,1013793,1014347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007466,1007466,1012993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007495,1013460,1007495,1014149,1013789,1013313,1013282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007507,1013384,1013286,1015693,1013583,1007507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007525,1013551,1007525,1013338,1013552,1013301,1014056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007530,1007530,1013673,1013321,1014338,1014158,1014309,1012834,1014083,1013015,1013483,1013273,1013008,1013603,1014116,1013276,1013840,1013253,1007549,1013677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007535,1007535,1007534,1007582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007539,1007590,1013218,1007520,1007555,1012986,1013718,1013703,1013387,1011310,1013748,1007539,1013220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007544,1007544,1007559,1014311,1009311,1014375,1007541,1013672,1013012,1013690,1013002,1007575,RW127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007563,1014304,1007563,1013792,1013569,1007441,1013005,1014039,1014335,1013457,1007537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007572,1013673,1012493,1007540,1012549,1013603,1013669,1013009,1013253,1013015,1007549,1013677,1013483,1013273,1013614,1014316,1012834,1014116,1007572,1014275,1013736,1013008,1007531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007580,1007580,1014303,1013481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007590,1007590,1007520,1007555,1012986,1013718,1023609,1013703,1013387,1011310,1013748,1007539,1013220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009064,1014314,1013472,1010574,1014272,1009064,1013666,1007356,1007360,1007473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009067,1013498,1012543,1007397,1013494,1007598,1007564,1012544,1014559,1009067,1007399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009311,1007544,1007559,1012833,1009311,1014318,1013020,1013012,1013013,1013690,1014320,1013014,1013002,1007401,1007575,RW127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009445,1012948,1010423,1009445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010941,1013487,1007561,1014032,1010941,1013546,1007485,1013846,1013675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011307,1013450,1013716,1011307,1010422,1007538,1013452,1013898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011309,1011303,1014277,1014276,1011302,1011304,1007573,1014295,1012004,1013470,1011313,1011316,1011309,1013804,1012991,1007429,1007630,1022905,1013595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
