,main,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
0,1009317,1014037,1014035.0,1014030.0,1007550.0,1007393.0,1013501.0,1009317.0,1007579.0,1007554.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1007325,1007325,1013418.0,1007583.0,1013868.0,1007349.0,1013790.0,1013793.0,1014347.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1007466,1007466,1012993.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1007495,1013460,1007495.0,1014149.0,1013789.0,1013313.0,1013282.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1007507,1013384,1013286.0,1015693.0,1013583.0,1007507.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1007525,1013551,1007525.0,1013338.0,1013552.0,1013301.0,1014056.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1007530,1007530,1013673.0,1013321.0,1014338.0,1014158.0,1014309.0,1012834.0,1014083.0,1013015.0,1013483.0,1013273,1013008,1013603,1014116,1013276,1013840.0,1013253.0,1007549.0,1013677.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1007535,1007535,1007534.0,1007582.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1007539,1007590,1013218.0,1007520.0,1007555.0,1012986.0,1013718.0,1013703.0,1013387.0,1011310.0,1013748.0,1007539,1013220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1007544,1007544,1007559.0,1014311.0,1009311.0,1014375.0,1007541.0,1013672.0,1013012.0,1013690.0,1013002.0,1007575,RW127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1007563,1014304,1007563.0,1013792.0,1013569.0,1007441.0,1013005.0,1014039.0,1014335.0,1013457.0,1007537.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1007572,1013673,1012493.0,1007540.0,1012549.0,1013603.0,1013669.0,1013009.0,1013253.0,1013015.0,1007549.0,1013677,1013483,1013273,1013614,1014316,1012834.0,1014116.0,1007572.0,1014275.0,1013736.0,1013008.0,1007531.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1007580,1007580,1014303.0,1013481.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1007590,1007590,1007520.0,1007555.0,1012986.0,1013718.0,1023609.0,1013703.0,1013387.0,1011310.0,1013748.0,1007539,1013220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1009064,1014314,1013472.0,1010574.0,1014272.0,1009064.0,1013666.0,1007356.0,1007360.0,1007473.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1009067,1013498,1012543.0,1007397.0,1013494.0,1007598.0,1007564.0,1012544.0,1014559.0,1009067.0,1007399.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1009311,1007544,1007559.0,1012833.0,1009311.0,1014318.0,1013020.0,1013012.0,1013013.0,1013690.0,1014320.0,1013014,1013002,1007401,1007575,RW127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1009445,1012948,1010423.0,1009445.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1010941,1013487,1007561.0,1014032.0,1010941.0,1013546.0,1007485.0,1013846.0,1013675.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1011307,1013450,1013716.0,1011307.0,1010422.0,1007538.0,1013452.0,1013898.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1011309,1011303,1014277.0,1014276.0,1011302.0,1011304.0,1007573.0,1014295.0,1012004.0,1013470.0,1011313.0,1011316,1011309,1013804,1012991,1007429,1007630.0,1022905.0,1013595.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1012457,1007471,1014126.0,1012457.0,1013289.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1012480,1012480,1013311.0,1014167.0,1014102.0,1014087.0,1007657.0,1014099.0,1014008.0,1007660.0,1014098.0,1014091,1014090,1014168,1014088,1014094,1007661.0,1014100.0,1014169.0,1012983.0,1013992.0,1014095.0,1007662.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1012813,1012815,1012813.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1012817,1007597,1014007.0,1012817.0,1011308.0,1007352.0,1012810.0,1013681.0,1012699.0,1013800.0,1013335.0,1007601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1012953,1012953,1007464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1012986,1007590,1013218.0,1007520.0,1007555.0,1012986.0,1013718.0,1013703.0,1013748.0,1007539.0,1013220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1012997,1013215,1013612.0,1013476.0,1013217.0,1012997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1013218,1013218,1007520.0,1012986.0,1013718.0,1013703.0,1013748.0,1007539.0,1013220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1013353,1011305,1022905.0,1013224.0,1013808.0,1013470.0,1013650.0,1013809.0,1007593.0,1007607.0,1013353.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1013457,1014304,1007563.0,1013792.0,1013569.0,1007565.0,1013005.0,1014039.0,1014335.0,1012830.0,1013457.0,1007537,1007571,1013877,1013722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1013541,1014420,1009710.0,1014119.0,1013629.0,1014413.0,1014533.0,1014604.0,1013547.0,1010847.0,1014414.0,1014602,1014412,1007545,1013541,1014410,1013759.0,1014532.0,1014411.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1013641,1013890,1013636.0,1013894.0,1007383.0,1013968.0,1013641.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1013652,1013652,1007384.0,1013637.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1013658,1013309,1013613.0,1014065.0,1013658.0,1007528.0,1007621.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1013662,1014140,1007493.0,1013995.0,1014154.0,1014144.0,1013977.0,1013974.0,1007659.0,1013993.0,1013978.0,1013263,1013973,1013975,1013662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1017673,1017673,1013660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,RW127,1007544,1012833.0,1009311.0,1014318.0,1013020.0,1013012.0,1013013.0,1013690.0,1014320.0,1013014.0,1013002,1007401,1007575,RW127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1007342,1014374,1014540.0,1014336.0,1013642.0,1013231.0,1014562.0,1007342.0,1013571.0,1013561.0,1013806.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1007347,1007347,1014448.0,1013731.0,1013751.0,1007617.0,1013023.0,1012984.0,1007536.0,1007437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1013678,1007517,1013678.0,1013903.0,1007404.0,1014326.0,1013702.0,1013461.0,1013692.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1015693,1013384,1013286.0,1015693.0,1012957.0,1013583.0,1007507.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1007340,1010580,1012955.0,1012954.0,1009071.0,1014289.0,1007453.0,1013697.0,1007340.0,1013272.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1007387,1013862,1007578.0,1007387.0,1014263.0,1013697.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1007391,1013683,1013580.0,1013686.0,1013575.0,1013685.0,1013026.0,1013022.0,1007391.0,1013021.0,1013778.0,1013315,1013574,1013278,1013805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1007412,1007509,1007412.0,1013874.0,1013921.0,1013912.0,1013364.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1007423,1012823,1013450.0,1007423.0,1013799.0,1007497.0,1013898.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1007424,1013626,1013625.0,1007680.0,1013290.0,1014074.0,1014159.0,1007897.0,1014122.0,1007424.0,1014121.0,1013274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1007426,1014007,1014331.0,1014538.0,1007426.0,1007543.0,1013332.0,1014006.0,1010917.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1007439,1007439,1013374.0,1013366.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1007444,1014542,1013227.0,1007444.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1007453,1010580,1012955.0,1012954.0,1009071.0,1007453.0,1013697.0,1007340.0,1013272.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1007455,1014404,1014406.0,1007455.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1007458,1007458,1014405.0,1007366.0,1007364.0,1014403.0,1014402.0,1007454.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1007463,1007486,1007463.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1007465,1007465,1013464.0,1013343.0,1013467.0,1013478.0,1013247.0,1013261.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1007469,1014497,1014036.0,1013539.0,1013903.0,1013340.0,1013268.0,1013007.0,1007469.0,1013461.0,1013692.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1007471,1007471,1012457.0,1014126.0,1013289.0,1012697.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1007472,1007472,1012696.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1007473,1014314,1007553.0,1010574.0,1009064.0,1013666.0,1007356.0,1014333.0,1013275.0,1007473.0,1013339.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1007477,1007479,1007477.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1007491,1014055,1014017.0,1013463.0,1014016.0,1014165.0,1012982.0,1013661.0,1007491.0,1013680.0,1007484.0,1013664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1007497,1013874,1012823.0,1007423.0,1013799.0,1007497.0,1013898.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1007499,1013813,1007489.0,1013480.0,1007390.0,1007499.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1007508,1013896,1007508.0,1014113.0,1014137.0,1013380.0,1010844.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1007515,1013867,1014269.0,1007515.0,1007339.0,1010583.0,1007899.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1007522,1012832,1013543.0,1014150.0,1013639.0,1013333.0,1014080.0,1013544.0,1014034.0,1014613.0,1014161.0,1014081,1013689,1013638,1013671,1007522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1007528,1013613,1013658.0,1013566.0,1013889.0,1013914.0,1007528.0,1007589.0,1007521.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1007538,1013450,1013716.0,1007348.0,1011307.0,1010422.0,1007538.0,1013452.0,1013451.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1007548,1013643,1007678.0,1012989.0,1013630.0,1013644.0,1012700.0,1007674.0,1007548.0,1007665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1007556,1013458,1012809.0,1007556.0,1013482.0,1013788.0,1014241.0,1012540.0,1013691.0,1014345.0,1014121.0,1013270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1007557,1013271,1012831.0,1013252.0,1013883.0,1014270.0,1014152.0,1012550.0,1013904.0,1014112.0,1014048.0,1013555,1007557,1012701,1013886,1013545,1013888.0,1014114.0,1014033.0,1014539.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1007562,1014274,1007552.0,1014499.0,1013881.0,1007518.0,1013872.0,1007562.0,1014498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,1007570,1014061,1007570.0,1007380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1007582,1007535,1007534.0,1007582.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1007593,1011305,1013224.0,1013808.0,1013568.0,1014603.0,1013650.0,1011306.0,1013809.0,1007593.0,1013353.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1007599,1007599,1013758.0,1013873.0,1013682.0,1013579.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1007600,1014350,1007604.0,1014353.0,1014348.0,1014354.0,1013780.0,1010576.0,1013320.0,1014426.0,1014239.0,1014360,1014043,1014793,1010409,1013837,1007606.0,1014355.0,1013779.0,1007600.0,1014044.0,1014361.0,1014370.0,1014432.0,1014570.0,1014371.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1007604,1014350,1007604.0,1014353.0,1014348.0,1014354.0,1013780.0,1010576.0,1013320.0,1014426.0,1014239.0,1014360,1014043,1014793,1010409,1013837,1007606.0,1014355.0,1013779.0,1007600.0,1014044.0,1014361.0,1014370.0,1014432.0,1014570.0,1014371.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
