,Project_code,Unsuitable,Suitable,Bridge_classification,Crossing,Days_per_year_river_is_flooded,River_crossing_injuries_in_last_3_years,Cell_service_quality,4WD_Accessibility,Bridge_Type,Proposed_Bridge_Location(GPS)(Latitude),Proposed_Bridge_Location(GPS)(Longitude),Height_differential_between_banks,Estimated_span(m)
0,1009317,0.47540949661408644,0.5245905033859136,unknown,unknown,46.0,0.0,unknown,unknown,unknown,-2.760833,29.488056,10.0,44.0
1,1007325,0.11715763945592801,0.882842360544072,unknown,timber,120.0,2.0,Fair,Seasonally,unknown,-2.322534,29.141944,0.7,10.0
3,1007466,2.2283861061005585e-05,0.9999777161389389,Standard,timber,60.0,0.0,Fair,Seasonally,Suspended,-2.47640667,29.4208,1.1,47.4
4,1007495,0.1651134362018872,0.8348865637981129,Standard,timber,35.0,4.0,Good,Never,Suspended,-2.233574,29.575366,1.1,90.0
5,1007507,0.0393537066726117,0.9606462933273884,Outside of current engineering scope,none,365.0,0.0,Good,unknown,Suspension,-2.2333694,29.575727,10.0,108.0
6,1007525,0.22285080715452624,0.7771491928454737,Standard,none,24.0,0.0,Good,Never,Suspended,-2.329779,29.668688,0.4,60.0
7,1007530,0.4207758603066882,0.5792241396933118,Standard,timber,120.0,4.0,Good,Seasonally,Suspended,-1.94142,30.034608,10.0,4.0
8,1007535,0.001027895330894588,0.9989721046691055,unknown,timber,40.0,4.0,Nonexistent,Seasonally,unknown,-2.7761,29.464528,10.0,44.0
9,1007539,0.04633602456936367,0.9536639754306363,unknown,none,180.0,5.0,Fair,Year Round,unknown,-2.697944,29.446917,10.0,44.0
10,1007544,0.3603457951936317,0.6396542048063684,Standard,none,121.0,0.0,Good,Never,Suspension,-2.71578,29.67607,10.0,50.0
11,1007563,0.3021807712483599,0.69781922875164,Standard,timber,120.0,1.0,Good,Year Round,Suspension,-2.69808,29.54557,10.0,67.5
