,ZIP,County,FIPS,State,Mean Violent Crime,Mean Property Crime
0,36003,Autauga,1001,AL,53.0,378.0
1,36006,Autauga,1001,AL,53.0,378.0
2,36067,Autauga,1001,AL,53.0,378.0
3,36066,Autauga,1001,AL,53.0,378.0
4,36703,Autauga,1001,AL,53.0,378.0
5,36701,Autauga,1001,AL,53.0,378.0
6,36091,Autauga,1001,AL,53.0,378.0
7,36051,Autauga,1001,AL,53.0,378.0
8,36068,Autauga,1001,AL,53.0,378.0
9,36008,Autauga,1001,AL,53.0,378.0
10,36022,Autauga,1001,AL,53.0,378.0
11,36749,Autauga,1001,AL,53.0,378.0
12,36758,Autauga,1001,AL,53.0,378.0
13,36550,Baldwin,1003,AL,193.0,676.0
14,36551,Baldwin,1003,AL,193.0,676.0
15,36527,Baldwin,1003,AL,193.0,676.0
16,36577,Baldwin,1003,AL,193.0,676.0
17,36559,Baldwin,1003,AL,193.0,676.0
18,36536,Baldwin,1003,AL,193.0,676.0
19,36576,Baldwin,1003,AL,193.0,676.0
20,36579,Baldwin,1003,AL,193.0,676.0
21,36502,Baldwin,1003,AL,193.0,676.0
22,36578,Baldwin,1003,AL,193.0,676.0
23,36533,Baldwin,1003,AL,193.0,676.0
24,36564,Baldwin,1003,AL,193.0,676.0
25,36561,Baldwin,1003,AL,193.0,676.0
26,36580,Baldwin,1003,AL,193.0,676.0
27,36535,Baldwin,1003,AL,193.0,676.0
28,36547,Baldwin,1003,AL,193.0,676.0
29,36549,Baldwin,1003,AL,193.0,676.0
30,36530,Baldwin,1003,AL,193.0,676.0
31,36562,Baldwin,1003,AL,193.0,676.0
32,36532,Baldwin,1003,AL,193.0,676.0
33,36526,Baldwin,1003,AL,193.0,676.0
34,36555,Baldwin,1003,AL,193.0,676.0
35,36511,Baldwin,1003,AL,193.0,676.0
36,36567,Baldwin,1003,AL,193.0,676.0
37,36574,Baldwin,1003,AL,193.0,676.0
38,36480,Baldwin,1003,AL,193.0,676.0
39,36507,Baldwin,1003,AL,193.0,676.0
40,36542,Baldwin,1003,AL,193.0,676.0
41,36017,Barbour,1005,AL,34.0,100.0
42,36016,Barbour,1005,AL,34.0,100.0
