Table 8,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by State by City, 2010",,,,,,,,,,,
State,City,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1
ALABAMA,Abbeville,21,1,0,0,20,67,19,45,3,
,Adamsville,10,0,3,2,5,294,21,250,23,
,Addison,0,0,0,0,0,33,3,26,4,
,Alabaster,33,0,0,7,26,515,22,458,35,
,Albertville,81,0,6,13,62,"1,112",346,710,56,
,Alexander City,59,1,8,9,41,646,113,522,11,
,Aliceville,12,0,1,0,11,51,10,35,6,
,Andalusia2,24,0,3,0,21,,,,11,
,Anderson,1,0,0,0,1,8,4,4,0,
,Anniston2,,3,23,76,,"2,038",831,"1,107",100,
,Ardmore,2,0,0,1,1,49,12,30,7,
,Argo,3,0,1,0,2,21,10,8,3,
,Ariton,2,0,0,0,2,11,2,9,0,
,Arley,0,0,0,0,0,17,1,14,2,
,Ashford,3,0,1,0,2,88,39,41,8,
,Ashland,3,0,0,0,3,43,4,37,2,
,Ashville,8,0,0,2,6,32,13,19,0,
,Athens,34,0,4,12,18,717,129,564,24,
,Atmore,49,0,2,5,42,335,62,252,21,
,Attalla,60,0,4,4,52,297,65,226,6,0
,Auburn,83,3,4,13,63,"1,818",206,"1,559",53,
,Bayou La Batre,23,0,1,0,22,172,62,90,20,
,Bear Creek,7,0,0,0,7,11,0,10,1,
,Bessemer,289,5,18,83,183,"2,189",273,"1,753",163,
,Blountsville,4,0,0,0,4,96,18,74,4,
,Boaz,10,0,2,1,7,496,69,403,24,
,Brantley,0,0,0,0,0,0,0,0,0,
,Brent,19,0,1,2,16,106,9,93,4,
,Brewton,95,0,0,1,94,239,24,210,5,
,Bridgeport,1,0,0,0,1,76,7,61,8,
,Brilliant,3,0,1,1,1,30,1,26,3,
,Brookside,0,0,0,0,0,1,0,0,1,
,Brundidge,9,0,0,1,8,59,23,34,2,
,Butler,14,0,0,2,12,49,25,21,3,
,Calera,24,0,4,4,16,322,23,293,6,
,Camden,2,0,0,0,2,8,1,4,3,
,Camp Hill,15,0,0,0,15,24,1,23,0,
,Carbon Hill,5,0,0,1,4,35,6,25,4,
,Carrollton,2,0,0,0,2,22,1,19,2,
,Cedar Bluff,11,0,0,1,10,135,21,93,21,
,Centre,3,0,2,0,1,114,18,86,10,
,Centreville,7,0,2,1,4,20,1,15,4,
,Chatom,5,0,0,1,4,19,2,15,2,
,Chickasaw,36,0,4,10,22,345,104,219,22,
,Citronelle,24,0,0,4,20,122,33,81,8,
,Clanton2,47,0,3,8,36,,,388,11,
,Clayhatchee,0,0,0,0,0,7,0,5,2,
,Clayton,4,0,0,0,4,6,1,5,0,
,Cleveland,0,0,0,0,0,13,2,11,0,
,Clio,0,0,0,0,0,1,0,0,1,
,Coffeeville,1,0,0,0,1,4,2,2,0,
,Collinsville,4,0,0,1,3,83,23,54,6,
,Columbia,1,0,0,0,1,8,0,7,1,
,Columbiana,3,0,0,0,3,108,7,99,2,
,Coosada,1,0,0,0,1,20,1,17,2,
,Cottonwood,3,0,0,0,3,27,7,19,1,
,Courtland,3,0,0,0,3,9,1,7,1,
,Creola,4,0,1,0,3,79,18,55,6,
,Crossville,0,0,0,0,0,7,0,3,4,
,Cullman,23,0,3,3,17,675,78,571,26,
,Dadeville,37,0,1,0,36,192,8,171,13,
,Daleville2,17,0,3,2,12,,,174,15,
,Daphne,31,0,0,5,26,453,77,368,8,
,Dauphin Island,3,0,0,0,3,57,27,28,2,
,Decatur,212,4,17,74,117,"2,751",682,"1,920",149,
,Demopolis,58,0,7,7,44,392,67,313,12,
,Dora,5,0,0,0,5,57,7,47,3,
,Dothan,411,1,29,118,263,"3,136","1,011","2,034",91,
,Douglas,9,0,1,0,8,54,2,49,3,
,Eclectic,6,0,0,1,5,39,11,28,0,
,Elba,21,1,3,2,15,125,30,84,11,
,Elberta,9,0,0,0,9,80,8,64,8,
,Enterprise3,124,4,8,23,89,,,,46,
,Eufaula2,19,1,5,6,7,,,411,8,
,Eutaw,34,0,1,2,31,75,26,45,4,3
